emoji_char,emoji_char_ascii,emjpd_emoji_name,emjpd_emoji_name_og,emjpd_aliases,emjpd_full_description,emjpd_shortcodes,emjpd_description_ref_emj,emjpd_usage_info,emjpd_description_main,emjpd_description_side
🎯,\U0001f3af,bullseye,Bullseye,"['Archery', 'Bullseye', 'Darts']","A dart board with dart hitting the center / bullseye region.

Bullseye was approved as part of Unicode 6.0 in 2010
under the name “Direct Hit”
and added to Emoji 1.0 in 2015.
","[':dart:\n(Github, Slack)\n', ':direct_hit:\n(Emojipedia)\n']",[],,A dart board with dart hitting the center / bullseye region.,"Bullseye was approved as part of Unicode 6.0 in 2010
under the name “Direct Hit”
and added to Emoji 1.0 in 2015."
🧑‍🚀,\U0001f9d1\u200d\U0001f680,astronaut,Astronaut,[],"The Astronaut emoji is a ZWJ sequence combining 🧑 Person, ‍ Zero Width Joiner and 🚀 Rocket.
These display as a single emoji on supported platforms.

Astronaut was added to Emoji 12.1 in 2019.
","[':astronaut:\n(Github, Slack, Emojipedia)\n']","['🚀', '🧑']",,"The Astronaut emoji is a ZWJ sequence combining 🧑 Person, ‍ Zero Width Joiner and 🚀 Rocket.
These display as a single emoji on supported platforms.",Astronaut was added to Emoji 12.1 in 2019.
🥧,\U0001f967,pie,Pie,[],"A baked dish with a pastry crust, filled with sweet or savory ingredients. Appearance widely varies by platform.
Apple depicts a whole pie in a tin, its crimped crust scored to let out steam. WhatsApp and Twitter's designs depict a slice of cherry pie. 
Google's design previously showed a slice of pumpkin pie, as served at Thanksgiving,

Pie was approved as part of Unicode 10.0 in 2017
and added to Emoji 5.0 in 2017.
","[':pie:\n(Github, Slack, Emojipedia)\n']",[],,"A baked dish with a pastry crust, filled with sweet or savory ingredients. Appearance widely varies by platform.
Apple depicts a whole pie in a tin, its crimped crust scored to let out steam. WhatsApp and Twitter's designs depict a slice of cherry pie. 
Google's design previously showed a slice of pumpkin pie, as served at Thanksgiving,","Pie was approved as part of Unicode 10.0 in 2017
and added to Emoji 5.0 in 2017."
🚐,\U0001f690,minibus,Minibus,"['Minivan', 'People-Mover']","A small bus or minivan designed to carry fewer people than a full-sized bus. Displayed in white on most platforms (green on Facebook).

Minibus was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':minibus:\n(Github, Slack, Emojipedia)\n']",[],,A small bus or minivan designed to carry fewer people than a full-sized bus. Displayed in white on most platforms (green on Facebook).,"Minibus was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🌌,\U0001f30c,milky_way,Milky Way,"['Galaxy', 'Night Sky', 'Space', 'Stars', 'Universe']","The Milky Way – a galaxy of billions of stars that includes our own solar system and planet earth.
Shown by many platforms as a night sky, with silhouettes of mountains or hills in the foreground.

Milky Way was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':milky_way:\n(Github, Slack, Emojipedia)\n']",[],,"The Milky Way – a galaxy of billions of stars that includes our own solar system and planet earth.
Shown by many platforms as a night sky, with silhouettes of mountains or hills in the foreground.","Milky Way was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🆑,\U0001f191,cl_button,CL Button,"['Clear', 'Clear Button']","CL is what shows on the CLear button of some older mobile phones.

CL Button was approved as part of Unicode 6.0 in 2010
under the name “Squared CL”
and added to Emoji 1.0 in 2015.
","[':cl:\n(Github, Slack)\n', ':cl_button:\n(Emojipedia)\n']",[],,CL is what shows on the CLear button of some older mobile phones.,"CL Button was approved as part of Unicode 6.0 in 2010
under the name “Squared CL”
and added to Emoji 1.0 in 2015."
⬆️,\u2b06\ufe0f,up_arrow,Up Arrow,"['Arrow Pointing Up', 'Up Arrow']","An arrow, pointing up.
See the glossary for information on the term black in unicode character names.

Up Arrow was approved as part of Unicode 4.0 in 2003
under the name “Upwards Black Arrow”
and added to Emoji 1.0 in 2015.
","[':arrow_up:\n(Github, Slack)\n', ':up_arrow:\n(Emojipedia)\n']",[],,"An arrow, pointing up.
See the glossary for information on the term black in unicode character names.","Up Arrow was approved as part of Unicode 4.0 in 2003
under the name “Upwards Black Arrow”
and added to Emoji 1.0 in 2015."
🌯,\U0001f32f,burrito,Burrito,['Wrap'],"A Mexican or Tex-Mex burrito, featuring a wrapped flour tortilla filled with such ingredients as beef, rice, beans, cheese, tomato, lettuce, and sour cream. Served in foil on several major platforms, suggesting a Mission burrito associated with San Francisco. Not to be confused with the Stuffed Flatbread.

Burrito was approved as part of Unicode 8.0 in 2015
and added to Emoji 1.0 in 2015.
","[':burrito:\n(Github, Slack, Emojipedia)\n']",[],"A Mexican or Tex-Mex burrito, featuring a wrapped flour tortilla filled with such ingredients as beef, rice, beans, cheese, tomato, lettuce, and sour cream. Served in foil on several major platforms, suggesting a Mission burrito associated with San Francisco. Not to be confused with the Stuffed Flatbread.","A Mexican or Tex-Mex burrito, featuring a wrapped flour tortilla filled with such ingredients as beef, rice, beans, cheese, tomato, lettuce, and sour cream. Served in foil on several major platforms, suggesting a Mission burrito associated with San Francisco. Not to be confused with the Stuffed Flatbread.","Burrito was approved as part of Unicode 8.0 in 2015
and added to Emoji 1.0 in 2015."
👨‍🏭,\U0001f468\u200d\U0001f3ed,man_factory_worker,Man Factory Worker,[],"The Man Factory Worker emoji is a ZWJ sequence combining 👨 Man, ‍ Zero Width Joiner and 🏭 Factory.
These display as a single emoji on supported platforms.

Man Factory Worker was added to Emoji 4.0 in 2016.
","[':man_factory_worker:\n(Github, Emojipedia)\n', ':male-factory-worker:\n(Slack)\n']","['👨', '🏭']",,"The Man Factory Worker emoji is a ZWJ sequence combining 👨 Man, ‍ Zero Width Joiner and 🏭 Factory.
These display as a single emoji on supported platforms.",Man Factory Worker was added to Emoji 4.0 in 2016.
🕔,\U0001f554,five_oclock,Five O’Clock,[],"
Five O’Clock was approved as part of Unicode 6.0 in 2010
under the name “Clock Face Five O’Clock”
and added to Emoji 1.0 in 2015.
","[':clock5:\n(Github, Slack)\n', ':five_oclock:\n(Emojipedia)\n']",[],,,"Five O’Clock was approved as part of Unicode 6.0 in 2010
under the name “Clock Face Five O’Clock”
and added to Emoji 1.0 in 2015."
◀️,\u25c0\ufe0f,reverse_button,Reverse Button,['Left Triangle'],"A triangle-shaped arrow, pointing left.
See the glossary for information on the term black in unicode character names.

Reverse Button was approved as part of Unicode 1.1 in 1993
under the name “Black Left-Pointing Triangle”
and added to Emoji 1.0 in 2015.
","[':arrow_backward:\n(Github, Slack)\n', ':reverse_button:\n(Emojipedia)\n']",[],,"A triangle-shaped arrow, pointing left.
See the glossary for information on the term black in unicode character names.","Reverse Button was approved as part of Unicode 1.1 in 1993
under the name “Black Left-Pointing Triangle”
and added to Emoji 1.0 in 2015."
🇯🇵,\U0001f1ef\U0001f1f5,flag-_japan,Flag: Japan,"['Japanese Flag', 'Regional Indicator Symbol Letters JP']","The flag for Japan, which may show as the letters JP on some platforms.
The Flag: Japan emoji is a flag sequence combining 🇯 Regional Indicator Symbol Letter J and 🇵 Regional Indicator Symbol Letter P.
These display as a single emoji on supported platforms.

Flag: Japan was added to Emoji 1.0 in 2015.
","[':jp:\n(Github, Slack)\n', ':flag-jp:\n(Slack)\n', ':flag_japan:\n(Emojipedia)\n']",[],,"The flag for Japan, which may show as the letters JP on some platforms.
The Flag: Japan emoji is a flag sequence combining 🇯 Regional Indicator Symbol Letter J and 🇵 Regional Indicator Symbol Letter P.
These display as a single emoji on supported platforms.",Flag: Japan was added to Emoji 1.0 in 2015.
🌷,\U0001f337,tulip,Tulip,[],"A pink tulip flower. Depicted as a single, vertical pink tulip on a green stem.
Commonly used for Valentine’s Day, Mother’s Day, and other special occasions. May be more generally used to express such sentiments as love, appreciation, and happiness. Also used in association with the Netherlands and as a pink accent color.
Not to be confused with 🌹 Rose, though their applications may overlap.
Google's tulip was once orange, Microsoft and Samsung's red.

Tulip was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':tulip:\n(Github, Slack, Emojipedia)\n']",['🌹'],"Not to be confused with 🌹 Rose, though their applications may overlap.","A pink tulip flower. Depicted as a single, vertical pink tulip on a green stem.
Commonly used for Valentine’s Day, Mother’s Day, and other special occasions. May be more generally used to express such sentiments as love, appreciation, and happiness. Also used in association with the Netherlands and as a pink accent color.
Not to be confused with 🌹 Rose, though their applications may overlap.
Google's tulip was once orange, Microsoft and Samsung's red.","Tulip was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
♨️,\u2668\ufe0f,hot_springs,Hot Springs,"['Onsen', 'Steam']","Representation of hot springs with steam rising from a circular tub. This is the common symbol used to represent an onsen on maps in Japan.

Hot Springs was approved as part of Unicode 1.1 in 1993
and added to Emoji 1.0 in 2015.
","[':hotsprings:\n(Github, Slack)\n', ':hot_springs:\n(Emojipedia)\n']",[],,Representation of hot springs with steam rising from a circular tub. This is the common symbol used to represent an onsen on maps in Japan.,"Hot Springs was approved as part of Unicode 1.1 in 1993
and added to Emoji 1.0 in 2015."
👥,\U0001f465,busts_in_silhouette,Busts in Silhouette,"['Shadows', 'Silhouettes', 'Users']","Generic profile of two people. Often used in interface design to represent users.

Busts in Silhouette was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':busts_in_silhouette:\n(Github, Slack, Emojipedia)\n']",[],Generic profile of two people. Often used in interface design to represent users.,Generic profile of two people. Often used in interface design to represent users.,"Busts in Silhouette was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
👨‍👦,\U0001f468\u200d\U0001f466,"family-_man,_boy","Family: Man, Boy",[],"The Family: Man, Boy emoji is a ZWJ sequence combining 👨 Man, ‍ Zero Width Joiner and 👦 Boy.
These display as a single emoji on supported platforms.

Family: Man, Boy was added to Emoji 4.0 in 2016.
","[':family_man_boy:\n(Github, Emojipedia)\n', ':man-boy:\n(Slack)\n']","['👨', '👦']",,"The Family: Man, Boy emoji is a ZWJ sequence combining 👨 Man, ‍ Zero Width Joiner and 👦 Boy.
These display as a single emoji on supported platforms.","Family: Man, Boy was added to Emoji 4.0 in 2016."
😥,\U0001f625,sad_but_relieved_face,Sad but Relieved Face,['Eyebrow Sweat'],"A yellow face with small, open eyes, a slight frown, and furrowed eyebrows, from which a single bead of sweat drips, as if from concern or anxiety. Also known as Disappointed but Relieved Face, suggesting the smiley is upset but is grateful things didn’t turn out worse.
Commonly conveys mild degrees of frustration and sadness. Not to be confused with 😢 Crying Face, 😪 Sleepy Face, or other emojis with tear or sweat droplets.

Sad but Relieved Face was approved as part of Unicode 6.0 in 2010
under the name “Disappointed but Relieved Face”
and added to Emoji 1.0 in 2015.
","[':disappointed_relieved:\n(Github, Slack)\n', ':sad_but_relieved_face:\n(Emojipedia)\n']","['😪', '😢']","Commonly conveys mild degrees of frustration and sadness. Not to be confused with 😢 Crying Face, 😪 Sleepy Face, or other emojis with tear or sweat droplets.","A yellow face with small, open eyes, a slight frown, and furrowed eyebrows, from which a single bead of sweat drips, as if from concern or anxiety. Also known as Disappointed but Relieved Face, suggesting the smiley is upset but is grateful things didn’t turn out worse.
Commonly conveys mild degrees of frustration and sadness. Not to be confused with 😢 Crying Face, 😪 Sleepy Face, or other emojis with tear or sweat droplets.","Sad but Relieved Face was approved as part of Unicode 6.0 in 2010
under the name “Disappointed but Relieved Face”
and added to Emoji 1.0 in 2015."
🏬,\U0001f3ec,department_store,Department Store,"['Shopping Center', 'Shops']","A large department store, selling a range of products to the general public. Shown as a large building with a billboard.
Previously shown as a shopping bag on Windows.

Department Store was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':department_store:\n(Github, Slack, Emojipedia)\n']",[],,"A large department store, selling a range of products to the general public. Shown as a large building with a billboard.
Previously shown as a shopping bag on Windows.","Department Store was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
📶,\U0001f4f6,antenna_bars,Antenna Bars,"['Reception Bars', 'Signal Strength', 'Stairs']","Bars increasing in height, showing the strength of the mobile (cellular) phone signal. More bars signifies better reception.

Antenna Bars was approved as part of Unicode 6.0 in 2010
under the name “Antenna with Bars”
and added to Emoji 1.0 in 2015.
","[':signal_strength:\n(Github, Slack)\n', ':antenna_bars:\n(Emojipedia)\n']",[],,"Bars increasing in height, showing the strength of the mobile (cellular) phone signal. More bars signifies better reception.","Antenna Bars was approved as part of Unicode 6.0 in 2010
under the name “Antenna with Bars”
and added to Emoji 1.0 in 2015."
🐳,\U0001f433,spouting_whale,Spouting Whale,['Cute Whale'],"A friendly, cartoon-styled whale, shown spouting water from its blowhole. Generally depicted as a light-blue whale in full profile facing left, with a round body and white underside, its tail held upright.
Often used with an affectionate tone. Not to be confused with the more lifelike 🐋 Whale, though their applications may overlap.
WhatsApp’s whale is gray, as Microsoft and Facebook’s whales previously were. Twitter’s whale was previously purple.

Spouting Whale was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':whale:\n(Github, Slack)\n', ':spouting_whale:\n(Emojipedia)\n']",['🐋'],"Often used with an affectionate tone. Not to be confused with the more lifelike 🐋 Whale, though their applications may overlap.","A friendly, cartoon-styled whale, shown spouting water from its blowhole. Generally depicted as a light-blue whale in full profile facing left, with a round body and white underside, its tail held upright.
Often used with an affectionate tone. Not to be confused with the more lifelike 🐋 Whale, though their applications may overlap.
WhatsApp’s whale is gray, as Microsoft and Facebook’s whales previously were. Twitter’s whale was previously purple.","Spouting Whale was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🟠,\U0001f7e0,orange_circle,Orange Circle,[],"
Orange Circle was approved as part of Unicode 12.0 in 2019
under the name “Large Orange Circle”
and added to Emoji 12.0 in 2019.
","[':orange_circle:\n(Github, Emojipedia)\n', ':large_orange_circle:\n(Slack)\n']",[],,,"Orange Circle was approved as part of Unicode 12.0 in 2019
under the name “Large Orange Circle”
and added to Emoji 12.0 in 2019."
🦫,\U0001f9ab,beaver,Beaver,[],"A brown beaver with buckteeth and a wide paddle-like tail. Can be used in the context of actual beavers, or metaphorically to evoke qualities of beavers like working hard, as in the expression beavering away. 
Commonly associated with Canada, as beavers are a national emblem of the country. May also be used in reference to the vagina, which is an informal sense of the word beaver.

Beaver was approved as part of Unicode 13.0 in 2020
and added to Emoji 13.0 in 2020.

🚩 New in 2020: requires iOS 14.2, Android 11, Samsung One UI 2.5 or above.",[':beaver:\n(Emojipedia)\n'],['🚩'],"A brown beaver with buckteeth and a wide paddle-like tail. Can be used in the context of actual beavers, or metaphorically to evoke qualities of beavers like working hard, as in the expression beavering away. 
Commonly associated with Canada, as beavers are a national emblem of the country. May also be used in reference to the vagina, which is an informal sense of the word beaver.","A brown beaver with buckteeth and a wide paddle-like tail. Can be used in the context of actual beavers, or metaphorically to evoke qualities of beavers like working hard, as in the expression beavering away. 
Commonly associated with Canada, as beavers are a national emblem of the country. May also be used in reference to the vagina, which is an informal sense of the word beaver.","Beaver was approved as part of Unicode 13.0 in 2020
and added to Emoji 13.0 in 2020.
🚩 New in 2020: requires iOS 14.2, Android 11, Samsung One UI 2.5 or above."
🐮,\U0001f42e,cow_face,Cow Face,"['Cow', 'Happy Cow']","A friendly, cartoon-styled face of a cow looking straight ahead. Variously depicted as a white, brown, or multicolored cow face with a neutral expression, short horns, and a pink or brown muzzle.
Often used with a more affectionate tone than the full-bodied 🐄 Cow.
Facebook’s design once featured a more lifelike, brown cow face.

Cow Face was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':cow:\n(Github, Slack)\n', ':cow_face:\n(Emojipedia)\n']",['🐄'],Often used with a more affectionate tone than the full-bodied 🐄 Cow.,"A friendly, cartoon-styled face of a cow looking straight ahead. Variously depicted as a white, brown, or multicolored cow face with a neutral expression, short horns, and a pink or brown muzzle.
Often used with a more affectionate tone than the full-bodied 🐄 Cow.
Facebook’s design once featured a more lifelike, brown cow face.","Cow Face was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
❎,\u274e,cross_mark_button,Cross Mark Button,"['Cross', 'X']","
Cross Mark Button was approved as part of Unicode 6.0 in 2010
under the name “Negative Squared Cross Mark”
and added to Emoji 1.0 in 2015.
","[':cross_mark_button:\n(Emojipedia)\n', ':negative_squared_cross_mark:\n(Github, Slack)\n']",[],,,"Cross Mark Button was approved as part of Unicode 6.0 in 2010
under the name “Negative Squared Cross Mark”
and added to Emoji 1.0 in 2015."
🆓,\U0001f193,free_button,Free Button,['Free'],"The word free, shown enclosed in a square.

Free Button was approved as part of Unicode 6.0 in 2010
under the name “Squared Free”
and added to Emoji 1.0 in 2015.
","[':free:\n(Github, Slack)\n', ':free_button:\n(Emojipedia)\n']",[],,"The word free, shown enclosed in a square.","Free Button was approved as part of Unicode 6.0 in 2010
under the name “Squared Free”
and added to Emoji 1.0 in 2015."
🐺,\U0001f43a,wolf,Wolf,[],"The face of a wolf, a howling canine that hunts in packs. Generally depicted as a cartoon-styled face of a gray wolf with pointed ears, white cheeks and muzzle, and black nose.
Its expression is variously neutral, friendly, or slightly menacing, as in Google and Samsung’s designs. Apple’s design features the head of gray wolf, facing left.
Occasionally used to represent metaphorical senses of wolf, e.g., lone wolf, wolf pack.
Apple and SoftBank’s designs previously resembled a reddish-brown canine, resembling a dog or fox.

Wolf was approved as part of Unicode 6.0 in 2010
under the name “Wolf Face”
and added to Emoji 1.0 in 2015.
","[':wolf:\n(Github, Slack, Emojipedia)\n']",[],,"The face of a wolf, a howling canine that hunts in packs. Generally depicted as a cartoon-styled face of a gray wolf with pointed ears, white cheeks and muzzle, and black nose.
Its expression is variously neutral, friendly, or slightly menacing, as in Google and Samsung’s designs. Apple’s design features the head of gray wolf, facing left.
Occasionally used to represent metaphorical senses of wolf, e.g., lone wolf, wolf pack.
Apple and SoftBank’s designs previously resembled a reddish-brown canine, resembling a dog or fox.","Wolf was approved as part of Unicode 6.0 in 2010
under the name “Wolf Face”
and added to Emoji 1.0 in 2015."
🇱🇷,\U0001f1f1\U0001f1f7,flag-_liberia,Flag: Liberia,['Liberian Flag'],"The flag for Liberia, which may show as the letters LR on some platforms.
The Flag: Liberia emoji is a flag sequence combining 🇱 Regional Indicator Symbol Letter L and 🇷 Regional Indicator Symbol Letter R.
These display as a single emoji on supported platforms.

Flag: Liberia was added to Emoji 1.0 in 2015.
","[':flag-lr:\n(Slack)\n', ':liberia:\n(Github)\n', ':flag_liberia:\n(Emojipedia)\n']",[],,"The flag for Liberia, which may show as the letters LR on some platforms.
The Flag: Liberia emoji is a flag sequence combining 🇱 Regional Indicator Symbol Letter L and 🇷 Regional Indicator Symbol Letter R.
These display as a single emoji on supported platforms.",Flag: Liberia was added to Emoji 1.0 in 2015.
🚏,\U0001f68f,bus_stop,Bus Stop,[],"A sign indicating the location of a bus stop by the side of a road.
Some platforms display this as a red, white and blue sign which can be found in parts of Japan. This interpretation has a slight resemblance to the Pepsi Globe.
Other platforms base this emoji design on bus stop signage of other regions.

Bus Stop was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':busstop:\n(Github, Slack)\n', ':bus_stop:\n(Emojipedia)\n']",[],,"A sign indicating the location of a bus stop by the side of a road.
Some platforms display this as a red, white and blue sign which can be found in parts of Japan. This interpretation has a slight resemblance to the Pepsi Globe.
Other platforms base this emoji design on bus stop signage of other regions.","Bus Stop was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
😉,\U0001f609,winking_face,Winking Face,"['Wink', 'Wink Face', 'Winky Face']","A yellow face with a slight smile or open mouth shown winking, usually its left eye. May signal a joke, flirtation, hidden meaning, or general positivity. Tone varies, including playful, affectionate, suggestive, or ironic.
Not to be confused with the more mischievous or sexual 😏 Smirking Face. An emoji form of the ;) emoticon.

Winking Face was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':wink:\n(Github, Slack)\n', ':winking_face:\n(Emojipedia)\n']",['😏'],Not to be confused with the more mischievous or sexual 😏 Smirking Face. An emoji form of the ;) emoticon.,"A yellow face with a slight smile or open mouth shown winking, usually its left eye. May signal a joke, flirtation, hidden meaning, or general positivity. Tone varies, including playful, affectionate, suggestive, or ironic.
Not to be confused with the more mischievous or sexual 😏 Smirking Face. An emoji form of the ;) emoticon.","Winking Face was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🧑‍🦰,\U0001f9d1\u200d\U0001f9b0,person-_red_hair,Person: Red Hair,[],"The Person: Red Hair emoji is a ZWJ sequence combining 🧑 Person, ‍ Zero Width Joiner and 🦰 Red Hair.
These display as a single emoji on supported platforms.

Person: Red Hair was added to Emoji 12.1 in 2019.
","[':person_red_hair:\n(Github, Emojipedia)\n', ':red_haired_person:\n(Slack)\n']",['🧑'],,"The Person: Red Hair emoji is a ZWJ sequence combining 🧑 Person, ‍ Zero Width Joiner and 🦰 Red Hair.
These display as a single emoji on supported platforms.",Person: Red Hair was added to Emoji 12.1 in 2019.
🇸🇱,\U0001f1f8\U0001f1f1,flag-_sierra_leone,Flag: Sierra Leone,['Sierra Leonean Flag'],"The flag for Sierra Leone, which may show as the letters SL on some platforms.
The Flag: Sierra Leone emoji is a flag sequence combining 🇸 Regional Indicator Symbol Letter S and 🇱 Regional Indicator Symbol Letter L.
These display as a single emoji on supported platforms.

Flag: Sierra Leone was added to Emoji 1.0 in 2015.
","[':flag-sl:\n(Slack)\n', ':sierra_leone:\n(Github)\n', ':flag_sierra_leone:\n(Emojipedia)\n']",[],,"The flag for Sierra Leone, which may show as the letters SL on some platforms.
The Flag: Sierra Leone emoji is a flag sequence combining 🇸 Regional Indicator Symbol Letter S and 🇱 Regional Indicator Symbol Letter L.
These display as a single emoji on supported platforms.",Flag: Sierra Leone was added to Emoji 1.0 in 2015.
👩‍❤️‍💋‍👩,\U0001f469\u200d\u2764\ufe0f\u200d\U0001f48b\u200d\U0001f469,"kiss-_woman,_woman","Kiss: Woman, Woman",[],"Two women displayed kissing, or gesturing a kiss toward each other. At small sizes this may be difficult to discern from two men kissing.
The Kiss: Woman, Woman emoji is a ZWJ sequence combining 👩 Woman, ‍ Zero Width Joiner, ❤️ Red Heart, ‍ Zero Width Joiner, 💋 Kiss Mark, ‍ Zero Width Joiner and 👩 Woman.
These display as a single emoji on supported platforms.

Kiss: Woman, Woman was added to Emoji 2.0 in 2015.
","[':kiss_woman_woman:\n(Emojipedia)\n', ':woman-kiss-woman:\n(Slack)\n', ':couplekiss_woman_woman:\n(Github)\n']","['❤️', '💋', '👩']",,"Two women displayed kissing, or gesturing a kiss toward each other. At small sizes this may be difficult to discern from two men kissing.
The Kiss: Woman, Woman emoji is a ZWJ sequence combining 👩 Woman, ‍ Zero Width Joiner, ❤️ Red Heart, ‍ Zero Width Joiner, 💋 Kiss Mark, ‍ Zero Width Joiner and 👩 Woman.
These display as a single emoji on supported platforms.","Kiss: Woman, Woman was added to Emoji 2.0 in 2015."
🚽,\U0001f6bd,toilet,Toilet,"['Bathroom', 'Loo', 'Restroom']","A white toilet, as used to deposit a 💩 Pile of Poo. (Don’t forget the 🧻 Roll of Paper.) Most platforms depict a porcelain toilet in profile, bowl facing to the left.
Commonly used for various content concerning going to the bathroom or bathrooms more generally. May also be used figuratively, e.g., down the toilet.
Google, Microsoft, and Twitter’s designs left the seat up.

Toilet was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
","[':toilet:\n(Github, Slack, Emojipedia)\n']","['🧻', '💩']","Commonly used for various content concerning going to the bathroom or bathrooms more generally. May also be used figuratively, e.g., down the toilet.","A white toilet, as used to deposit a 💩 Pile of Poo. (Don’t forget the 🧻 Roll of Paper.) Most platforms depict a porcelain toilet in profile, bowl facing to the left.
Commonly used for various content concerning going to the bathroom or bathrooms more generally. May also be used figuratively, e.g., down the toilet.
Google, Microsoft, and Twitter’s designs left the seat up.","Toilet was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
🇱🇮,\U0001f1f1\U0001f1ee,flag-_liechtenstein,Flag: Liechtenstein,['Liechtensteiner Flag'],"The flag for Liechtenstein, which may show as the letters LI on some platforms.
The Flag: Liechtenstein emoji is a flag sequence combining 🇱 Regional Indicator Symbol Letter L and 🇮 Regional Indicator Symbol Letter I.
These display as a single emoji on supported platforms.

Flag: Liechtenstein was added to Emoji 1.0 in 2015.
","[':flag-li:\n(Slack)\n', ':liechtenstein:\n(Github)\n', ':flag_liechtenstein:\n(Emojipedia)\n']",[],,"The flag for Liechtenstein, which may show as the letters LI on some platforms.
The Flag: Liechtenstein emoji is a flag sequence combining 🇱 Regional Indicator Symbol Letter L and 🇮 Regional Indicator Symbol Letter I.
These display as a single emoji on supported platforms.",Flag: Liechtenstein was added to Emoji 1.0 in 2015.
🔯,\U0001f52f,dotted_six-pointed_star,Dotted Six-Pointed Star,[],"A star with six points, and a dot in the center. Similar to the Star of David emoji.

Dotted Six-Pointed Star was approved as part of Unicode 6.0 in 2010
under the name “Six Pointed Star with Middle Dot”
and added to Emoji 1.0 in 2015.
","[':six_pointed_star:\n(Github, Slack)\n', ':dotted_six_pointed_star:\n(Emojipedia)\n']",[],,"A star with six points, and a dot in the center. Similar to the Star of David emoji.","Dotted Six-Pointed Star was approved as part of Unicode 6.0 in 2010
under the name “Six Pointed Star with Middle Dot”
and added to Emoji 1.0 in 2015."
⛄,\u26c4,snowman_without_snow,Snowman Without Snow,"['Frosty The Snowman', 'Olaf', 'Snowman']","A classic snowman, as Frosty the Snowman. Depicted as a snowman, facing forward, made from two or three large snowballs and stick arms, dressed with a top hat, a carrot nose, coal eyes, and two or three buttons on its torso. Sometimes shown with a smile and a red scarf.
Often used for various content concerning winter fun and Christmastime.
Vendors implement the same figure for their ☃️ Snowman, but which has snowflakes falling on it.
Google’s snowman is wearing green gloves, though its snowman previously lacked any attire. Samsung's previously lacked a hat.

Snowman Without Snow was approved as part of Unicode 5.2 in 2009
and added to Emoji 1.0 in 2015.
","[':snowman:\n(Github)\n', ':snowman_without_snow:\n(Slack, Emojipedia)\n']",['☃️'],Often used for various content concerning winter fun and Christmastime.,"A classic snowman, as Frosty the Snowman. Depicted as a snowman, facing forward, made from two or three large snowballs and stick arms, dressed with a top hat, a carrot nose, coal eyes, and two or three buttons on its torso. Sometimes shown with a smile and a red scarf.
Often used for various content concerning winter fun and Christmastime.
Vendors implement the same figure for their ☃️ Snowman, but which has snowflakes falling on it.
Google’s snowman is wearing green gloves, though its snowman previously lacked any attire. Samsung's previously lacked a hat.","Snowman Without Snow was approved as part of Unicode 5.2 in 2009
and added to Emoji 1.0 in 2015."
🇵🇫,\U0001f1f5\U0001f1eb,flag-_french_polynesia,Flag: French Polynesia,['French Polynesian Flag'],"The flag for French Polynesia, which may show as the letters PF on some platforms.
The Flag: French Polynesia emoji is a flag sequence combining 🇵 Regional Indicator Symbol Letter P and 🇫 Regional Indicator Symbol Letter F.
These display as a single emoji on supported platforms.

Flag: French Polynesia was added to Emoji 1.0 in 2015.
","[':flag-pf:\n(Slack)\n', ':french_polynesia:\n(Github)\n', ':flag_french_polynesia:\n(Emojipedia)\n']",[],,"The flag for French Polynesia, which may show as the letters PF on some platforms.
The Flag: French Polynesia emoji is a flag sequence combining 🇵 Regional Indicator Symbol Letter P and 🇫 Regional Indicator Symbol Letter F.
These display as a single emoji on supported platforms.",Flag: French Polynesia was added to Emoji 1.0 in 2015.
